Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YR
Al Horford,C,32,BOS,68,68,29.0,5.7,10.6,0.535,1.1,3.0,0.36,4.6,7.6,0.604,0.586,1.1,1.4,0.821,1.8,5.0,6.7,4.2,0.9,1.3,1.5,1.9,13.6,2019
Al Horford,C,33,PHI,67,61,30.2,4.8,10.6,0.45,1.5,4.2,0.35,3.3,6.4,0.516,0.52,0.9,1.2,0.763,1.5,5.3,6.8,4.0,0.8,0.9,1.2,2.1,11.9,2020
Al Horford,C,34,OKC,28,28,27.9,5.8,12.9,0.45,2.0,5.4,0.368,3.8,7.4,0.51,0.528,0.6,0.8,0.818,1.0,5.7,6.7,3.4,0.9,0.9,1.0,1.7,14.2,2021
Al Horford,C,35,BOS,69,69,29.1,3.9,8.2,0.467,1.3,3.8,0.336,2.6,4.4,0.582,0.546,1.2,1.4,0.842,1.6,6.1,7.7,3.4,0.7,1.3,0.9,1.9,10.2,2022
Al Horford,C,36,BOS,63,63,30.5,3.6,7.6,0.476,2.3,5.2,0.446,1.3,2.4,0.539,0.627,0.2,0.3,0.714,1.2,5.0,6.2,3.0,0.5,1.0,0.6,1.9,9.8,2023
Alex Len,C,25,ATL,77,31,20.1,4.2,8.4,0.494,1.0,2.6,0.363,3.2,5.8,0.554,0.551,1.8,2.8,0.648,2.1,3.5,5.5,1.1,0.4,0.9,1.3,2.6,11.1,2019
Alex Len,C,26,TOT,55,12,17.6,3.2,5.8,0.555,0.3,1.1,0.271,2.9,4.7,0.619,0.58,1.2,1.9,0.648,1.8,4.0,5.8,0.9,0.4,0.9,1.0,2.3,8.0,2020
Alex Len,C,27,TOT,64,42,15.3,2.7,4.3,0.615,0.1,0.4,0.32,2.5,4.0,0.644,0.629,1.1,1.8,0.629,1.2,2.8,4.1,0.8,0.3,1.0,0.9,2.0,6.6,2021
Alex Len,C,28,SAC,39,10,15.9,2.4,4.5,0.534,0.2,0.5,0.286,2.3,4.0,0.568,0.551,1.1,1.6,0.651,1.3,2.8,4.1,1.2,0.3,0.6,1.1,2.6,6.0,2022
Alex Len,C,29,SAC,26,2,6.2,0.6,1.2,0.533,0.0,0.1,0.0,0.6,1.1,0.571,0.533,0.4,0.6,0.688,0.9,1.4,2.3,0.5,0.2,0.4,0.6,1.1,1.7,2023
Alperen ?engün,C,19,HOU,72,13,20.7,3.5,7.3,0.474,0.4,1.6,0.248,3.1,5.7,0.539,0.502,2.3,3.2,0.711,1.9,3.5,5.5,2.6,0.8,0.9,2.0,3.0,9.6,2022
